start_Longitude,start_Latitude,end_Longitude,end_Latitude,Speed
-79.37786,43.66217,-79.378,43.66216,40
-79.3682,43.66211,-79.36854,43.66204,40
-79.3834,43.66213,-79.38336,43.66203,40
-79.36718,43.66234,-79.36704,43.66194,40
-79.378,43.66216,-79.37935,43.66184,40
-79.39969,43.66259,-79.39952,43.66215,50
-79.3707,43.66156,-79.37143,43.66141,40
-79.38336,43.66203,-79.38311,43.6614,40
-79.40132,43.66134,-79.40022,43.66155,50
-79.41143,43.66242,-79.41103,43.66143,50
-79.37762,43.66159,-79.3791,43.66126,50
-79.38809,43.66113,-79.38788,43.66116,50
-79.41265,43.66217,-79.41226,43.66118,50
-79.38769,43.6612,-79.38758,43.66094,50
-79.37735,43.661,-79.37755,43.66096,50
-79.3791,43.66126,-79.37883,43.66065,40
-79.38743,43.66054,-79.38667,43.6607,40
-79.37354,43.66096,-79.37332,43.66041,50
-79.4065,43.66032,-79.40597,43.66042,50
-79.40101,43.6603,-79.40105,43.66029,40
-79.41758,43.66187,-79.41758,43.66184,50
-79.39887,43.66002,-79.39871,43.66009,50
-79.37883,43.66065,-79.37847,43.65983,40
-79.39995,43.65982,-79.39887,43.66002,50
-79.41096,43.66127,-79.41062,43.66044,50
-79.40123,43.66022,-79.40129,43.66017,40
-79.36523,43.65959,-79.36598,43.65943,40
-79.41219,43.66101,-79.41187,43.66021,30
-79.4025,43.6593,-79.40157,43.65951,50
-79.3935,43.65921,-79.39259,43.65941,40
-79.38598,43.65907,-79.38519,43.65924,50
-79.40082,43.6591,-79.40076,43.65909,40
-79.36734,43.65913,-79.36795,43.65901,40
-79.39468,43.65896,-79.3941,43.65908,40
-79.36795,43.65901,-79.36853,43.65888,40
-79.41463,43.66049,-79.41431,43.65967,50
-79.3821,43.6591,-79.38191,43.65865,40
-79.36853,43.65888,-79.36948,43.65866,40
-79.41689,43.66002,-79.41681,43.6598,50
-79.4065,43.65854,-79.40585,43.65868,50
-79.40716,43.66018,-79.40681,43.65932,50
-79.39011,43.65864,-79.39003,43.65846,50
-79.40714,43.65841,-79.4065,43.65854,50
-79.37636,43.65855,-79.37723,43.65834,50
-79.38567,43.65834,-79.38488,43.6585,40
-79.38598,43.65907,-79.38567,43.65834,50
-79.39818,43.65828,-79.39702,43.6585,40
-79.37723,43.65834,-79.37785,43.65822,50
-79.36479,43.6585,-79.36478,43.65845,50
-79.37785,43.65822,-79.37899,43.65798,50
-79.38191,43.65865,-79.38158,43.65788,40
-79.38638,43.65818,-79.38625,43.65794,50
-79.41898,43.65802,-79.41899,43.65799,50
-79.40315,43.65735,-79.40279,43.65743,40
-79.40377,43.65724,-79.40315,43.65735,40
-79.40405,43.65718,-79.40377,43.65724,40
-79.38508,43.65715,-79.38437,43.6573,50
-79.40449,43.6571,-79.40405,43.65718,40
-79.38137,43.65741,-79.38121,43.65702,40
-79.40517,43.65698,-79.40449,43.6571,40
-79.38587,43.657,-79.38508,43.65715,50
-79.41932,43.65745,-79.41938,43.65738,50
-79.42066,43.65929,-79.41998,43.65757,50
-79.40582,43.65685,-79.40517,43.65698,40
-79.37565,43.65683,-79.37654,43.65664,40
-79.42093,43.65664,-79.42073,43.65668,50
-79.37654,43.65664,-79.37714,43.6565,40
-79.39744,43.65648,-79.39712,43.65655,50
-79.38029,43.65645,-79.38036,43.65645,40
-79.38121,43.65702,-79.38092,43.65634,40
-79.37959,43.6563,-79.37964,43.65631,40
-79.39834,43.65629,-79.39812,43.65633,50
-79.38474,43.65626,-79.384,43.65644,50
-79.40894,43.65624,-79.40844,43.65633,40
-79.37829,43.65626,-79.37861,43.65619,40
-79.39042,43.65616,-79.39027,43.65617,50
-79.38548,43.65613,-79.38474,43.65626,50
-79.39096,43.65601,-79.39068,43.65608,50
-79.39346,43.656,-79.39275,43.65616,50
-79.41152,43.6593,-79.41015,43.65599,30
-79.39941,43.65606,-79.39933,43.65583,40
-79.38845,43.6555,-79.3874,43.65571,50
-79.41262,43.65548,-79.41138,43.65572,40
-79.38519,43.65543,-79.38372,43.65574,40
-79.38602,43.65525,-79.38519,43.65543,40
-79.41387,43.65521,-79.41262,43.65548,40
-79.41788,43.65523,-79.41782,43.65523,40
-79.41719,43.65517,-79.41706,43.65516,40
-79.39933,43.65583,-79.39906,43.65513,40
-79.3874,43.65571,-79.38711,43.65502,50
-79.40398,43.65583,-79.40381,43.65534,50
-79.37495,43.65514,-79.37562,43.65499,40
-79.38816,43.65483,-79.38804,43.65483,40
-79.36715,43.65502,-79.36793,43.65486,40
-79.38875,43.65543,-79.38849,43.65481,40
-79.40165,43.65498,-79.4015,43.65461,35
-79.40598,43.65543,-79.40563,43.65455,50
-79.38481,43.65451,-79.38394,43.65475,35
-79.38519,43.65543,-79.38496,43.65482,35
-79.369,43.65463,-79.36941,43.65453,40
-79.36715,43.65502,-79.36694,43.65448,50
-79.39032,43.65449,-79.39025,43.65449,40
-79.37759,43.65456,-79.3778,43.65452,40
-79.39895,43.65488,-79.39873,43.65437,40
-79.37818,43.65444,-79.37877,43.65432,40
-79.37946,43.65598,-79.37937,43.65576,50
-79.39144,43.6543,-79.39096,43.6544,40
-79.36821,43.65417,-79.3682,43.65418,35
-79.40069,43.65477,-79.40053,43.6543,50
-79.36529,43.65426,-79.3667,43.65393,50
-79.36694,43.65448,-79.3667,43.65393,50
-79.39873,43.65437,-79.39854,43.65387,40
-79.38602,43.65525,-79.38575,43.65463,50
-79.39654,43.65431,-79.39634,43.65382,50
-79.41257,43.65366,-79.41236,43.65371,50
-79.39453,43.65368,-79.39385,43.65382,40
-79.369,43.65463,-79.36854,43.65352,50
-79.37323,43.65372,-79.37429,43.65349,40
-79.36979,43.65386,-79.37015,43.65385,50
-79.37206,43.65397,-79.37185,43.6535,50
-79.38711,43.65502,-79.38678,43.65422,50
-79.40093,43.65328,-79.40062,43.65334,35
-79.38642,43.65336,-79.38743,43.65315,50
-79.41487,43.6532,-79.41379,43.65341,50
-79.41514,43.65385,-79.41499,43.65347,50
-79.37517,43.6533,-79.37574,43.65317,40
-79.3854,43.65384,-79.38539,43.65383,35
-79.40288,43.65308,-79.40267,43.65312,50
-79.40308,43.65359,-79.40288,43.65308,50
-79.37185,43.6535,-79.37172,43.65317,50
-79.37294,43.65302,-79.37406,43.65276,40
-79.37294,43.65302,-79.37282,43.65271,40
-79.39985,43.65254,-79.39917,43.65269,40
-79.37406,43.65276,-79.37545,43.65246,40
-79.37559,43.65281,-79.37545,43.65246,40
-79.37282,43.65271,-79.37266,43.65236,40
-79.37545,43.65246,-79.3757,43.65241,40
-79.37651,43.6526,-79.37637,43.65226,50
-79.39817,43.65291,-79.39794,43.65224,40
-79.36476,43.65295,-79.3644,43.65212,50
-79.37809,43.65267,-79.37777,43.65194,50
-79.40281,43.65194,-79.40227,43.65204,40
-79.40305,43.65253,-79.40281,43.65194,35
-79.38176,43.65188,-79.38074,43.65208,40
-79.37331,43.65222,-79.37351,43.65218,50
-79.41218,43.65269,-79.41183,43.65178,50
-79.36642,43.65261,-79.36609,43.65175,50
-79.37777,43.65194,-79.37894,43.65166,40
-79.37925,43.65242,-79.37894,43.65166,40
-79.37243,43.65178,-79.37235,43.65157,40
-79.39064,43.65243,-79.39049,43.65205,50
-79.39082,43.65137,-79.39027,43.65149,50
-79.40726,43.65205,-79.40697,43.65136,50
-79.40754,43.65125,-79.40697,43.65136,35
-79.367,43.65155,-79.3668,43.65109,50
-79.41219,43.65105,-79.41158,43.65117,40
-79.37894,43.65166,-79.37869,43.65105,40
-79.39265,43.65097,-79.39261,43.65087,30
-79.38643,43.65087,-79.38495,43.6512,40
-79.41158,43.65117,-79.41145,43.65085,50
-79.37751,43.65132,-79.37748,43.65123,50
-79.39358,43.65067,-79.39261,43.65087,35
-79.3668,43.65109,-79.36664,43.65067,50
-79.39392,43.65065,-79.39382,43.65065,35
-79.39027,43.65149,-79.38989,43.6506,50
-79.3813,43.65115,-79.38106,43.65056,40
-79.38495,43.6512,-79.38458,43.65047,50
-79.37066,43.65074,-79.37127,43.6506,40
-79.39497,43.65046,-79.39463,43.65054,35
-79.38862,43.65041,-79.38745,43.65065,40
-79.38261,43.65089,-79.38251,43.65063,50
-79.38948,43.65022,-79.38862,43.65041,40
-79.38973,43.65016,-79.38948,43.65022,40
-79.37564,43.65025,-79.37616,43.65014,50
-79.37646,43.65085,-79.37627,43.65042,50
-79.36946,43.651,-79.36923,43.65051,50
-79.39026,43.65005,-79.38973,43.65016,40
-79.39392,43.65065,-79.39385,43.65047,35
-79.38106,43.65056,-79.38079,43.6499,40
-79.36905,43.65013,-79.36891,43.64974,50
-79.38211,43.64961,-79.38175,43.6497,50
-79.38238,43.65029,-79.38211,43.64961,50
-79.41145,43.65085,-79.41099,43.64968,50
-79.39214,43.64965,-79.39109,43.64987,40
-79.37569,43.64963,-79.37593,43.64958,40
-79.37593,43.64958,-79.37673,43.6494,40
-79.40271,43.6494,-79.40131,43.64968,50
-79.39343,43.64938,-79.39214,43.64965,40
-79.39362,43.64933,-79.39343,43.64938,40
-79.37418,43.64942,-79.37411,43.64925,40
-79.37843,43.65043,-79.37794,43.64928,40
-79.37411,43.64925,-79.37457,43.64915,50
-79.37457,43.64915,-79.37543,43.64896,50
-79.3646,43.64923,-79.36445,43.64886,35
-79.38915,43.64943,-79.3889,43.6488,50
-79.37543,43.64896,-79.37641,43.64875,50
-79.40405,43.64882,-79.40459,43.64872,50
-79.37543,43.64896,-79.37542,43.64891,50
-79.38026,43.64864,-79.37878,43.64895,40
-79.40599,43.64894,-79.40585,43.64857,50
-79.37641,43.64875,-79.37758,43.6485,50
-79.39741,43.64854,-79.39648,43.64872,40
-79.39076,43.6491,-79.39066,43.64884,50
-79.36986,43.64883,-79.36972,43.64848,50
-79.36845,43.64876,-79.36842,43.64867,35
-79.37878,43.64895,-79.37854,43.64833,50
-79.37533,43.6487,-79.37518,43.6483,50
-79.39839,43.64834,-79.39815,43.64839,40
-79.3635,43.64838,-79.36362,43.64836,35
-79.36445,43.64886,-79.36417,43.64823,35
-79.37641,43.64875,-79.37631,43.6487,50
-79.36417,43.64823,-79.3644,43.64818,35
-79.36972,43.64848,-79.36956,43.64808,35
-79.40829,43.64807,-79.40708,43.64832,50
-79.40459,43.64872,-79.40429,43.64804,40
-79.3866,43.64863,-79.38634,43.64799,50
-79.37092,43.64822,-79.37115,43.64816,50
-79.37215,43.64905,-79.3717,43.64802,50
-79.37603,43.64811,-79.37733,43.64785,40
-79.39633,43.64834,-79.39614,43.64787,40
-79.37092,43.64822,-79.37079,43.64784,40
-79.39051,43.64845,-79.39025,43.64783,50
-79.40585,43.64857,-79.40555,43.64781,50
-79.40429,43.64804,-79.40414,43.64767,40
-79.37079,43.64784,-79.37154,43.64767,35
-79.40201,43.64761,-79.40144,43.64772,40
-79.38863,43.64817,-79.3884,43.64756,50
-79.38608,43.64739,-79.38544,43.64752,40
-79.39283,43.64731,-79.39219,43.64744,40
-79.3728,43.64749,-79.37328,43.64726,50
-79.39025,43.64783,-79.38999,43.6472,50
-79.40127,43.64733,-79.40112,43.64698,50
-79.37575,43.64746,-79.3755,43.6469,50
-79.39283,43.64731,-79.39265,43.64689,50
-79.3837,43.64694,-79.38354,43.6465,35
-79.3755,43.6469,-79.37526,43.64633,50
-79.38408,43.64638,-79.38399,43.64622,40
-79.39568,43.64671,-79.39546,43.64617,40
-79.38608,43.64739,-79.38554,43.64607,50
-79.39362,43.64575,-79.39231,43.64604,40
-79.40367,43.64646,-79.40334,43.6455,40
-79.38949,43.64593,-79.38935,43.64558,50
-79.40334,43.6455,-79.40321,43.64519,40
-79.40321,43.64519,-79.40307,43.64486,40
-79.39176,43.64472,-79.39117,43.64484,50
-79.40307,43.64486,-79.40294,43.64454,40
-79.39313,43.64441,-79.39223,43.64461,50
-79.38477,43.64427,-79.38275,43.64471,50
-79.38922,43.6453,-79.38866,43.644,50
-79.3678,43.64434,-79.36897,43.64392,40
-79.40241,43.6432,-79.39977,43.64373,50
-79.39124,43.64341,-79.39107,43.64303,50
-79.38115,43.64209,-79.3811,43.64196,40
-79.37159,43.66182,-79.371,43.66195,35
-79.37143,43.66141,-79.37156,43.66172,50
-79.38809,43.66113,-79.38788,43.66108,50
-79.39491,43.66105,-79.39472,43.66061,50
-79.37473,43.6607,-79.37486,43.66067,40
-79.38209,43.66057,-79.3821,43.66056,50
-79.37959,43.6563,-79.37946,43.65598,50
-79.40377,43.65724,-79.40337,43.65625,50
-79.37887,43.65616,-79.37873,43.65581,50
-79.36979,43.65386,-79.36978,43.65381,50
-79.41206,43.65071,-79.41145,43.65085,35
-79.38989,43.6506,-79.38955,43.65067,50
-79.37418,43.64942,-79.37513,43.64921,35
-79.3661,43.64933,-79.36602,43.64914,35
-79.40659,43.64884,-79.40652,43.64884,35
-79.40908,43.65169,-79.40893,43.65131,35
-79.40363,43.64779,-79.40362,43.64779,35
-79.39952,43.6477,-79.3994,43.64772,50
-79.39799,43.64801,-79.39784,43.64764,50
-79.3717,43.64802,-79.37154,43.64767,35
-79.39952,43.6477,-79.39936,43.64732,50
-79.40376,43.64684,-79.40366,43.64686,50
-79.36487,43.64663,-79.36488,43.64656,40
-79.37,43.64597,-79.36998,43.64592,40
-79.40077,43.64474,-79.40096,43.6447,35
-79.40096,43.6447,-79.40082,43.64429,50
-79.37795,43.64324,-79.37792,43.64318,40
-79.37792,43.64318,-79.3779,43.64313,40
-79.3779,43.64313,-79.3778,43.64292,40
-79.38136,43.64132,-79.38091,43.64154,70
-79.39188,43.64167,-79.39226,43.64156,50
-79.3915,43.64068,-79.39153,43.64075,50
-79.39155,43.6408,-79.39197,43.64081,50
-79.39291,43.64065,-79.39306,43.64062,50
-79.39322,43.64059,-79.39319,43.64049,40
-79.36941,43.64774,-79.36917,43.64714,35
-79.37066,43.65074,-79.37028,43.64984,50
-79.37104,43.65162,-79.37066,43.65074,50
-79.40112,43.64698,-79.40059,43.64573,50
-79.39694,43.66044,-79.39681,43.66013,40
-79.40908,43.65169,-79.40848,43.6518,40
-79.40971,43.65156,-79.40908,43.65169,40
-79.40724,43.64872,-79.40708,43.64832,50
-79.40551,43.64769,-79.40541,43.64742,50
-79.40555,43.64781,-79.40551,43.64769,50
-79.40585,43.64857,-79.40509,43.64873,50
-79.40481,43.65256,-79.40481,43.65254,50
-79.40514,43.65228,-79.4047,43.65208,40
-79.40512,43.65465,-79.40499,43.65468,50
-79.40563,43.65455,-79.40512,43.65465,50
-79.36804,43.65083,-79.3668,43.65109,35
-79.36728,43.64904,-79.36788,43.64889,50
-79.36822,43.65127,-79.36946,43.651,40
-79.36924,43.65385,-79.36937,43.65385,50
-79.36912,43.65339,-79.36963,43.65327,40
-79.3825,43.66137,-79.38275,43.66137,40
-79.36854,43.65352,-79.36883,43.65345,40
-79.39001,43.64046,-79.38999,43.64055,35
-79.38882,43.64037,-79.38884,43.64047,35
-79.3926,43.63901,-79.39258,43.63893,40
-79.37761,43.64241,-79.37746,43.64211,40
-79.36987,43.6457,-79.36983,43.64561,40
-79.37797,43.64328,-79.37795,43.64324,40
-79.37268,43.64535,-79.3729,43.64529,50
-79.36998,43.64592,-79.36995,43.64587,40
-79.36995,43.64587,-79.37002,43.64585,60
-79.37,43.64597,-79.37023,43.64594,70
-79.36619,43.64671,-79.36628,43.64669,60
-79.37304,43.64538,-79.3733,43.64532,50
-79.40092,43.65155,-79.40094,43.6515,35
-79.39975,43.65138,-79.39967,43.65133,35
-79.3992,43.65066,-79.39929,43.65065,35
-79.39908,43.65007,-79.39894,43.6497,35
-79.40564,43.64981,-79.40555,43.64959,35
-79.40523,43.64908,-79.40509,43.64873,35
-79.41278,43.65589,-79.41262,43.65548,50
-79.37905,43.65029,-79.37892,43.64998,35
-79.38137,43.65378,-79.38117,43.65328,35
