latitude,longitude,speed_limit,average_speed,speed_ratio
43.66217,-79.37786,40,9.91,0.24775
43.66216,-79.378,40,9.91,0.24775
43.66211,-79.3682,40,27.04,0.6759999999999999
43.66204,-79.36854,40,27.04,0.6759999999999999
43.66213,-79.3834,40,19.72,0.493
43.66203,-79.38336,40,19.72,0.493
43.66234,-79.36718,40,20.34,0.5085
43.66194,-79.36704,40,20.34,0.5085
43.66259,-79.39969,50,17.98,0.3596
43.66215,-79.39952,50,17.98,0.3596
43.662,-79.39945,50,17.98,0.3596
43.6617,-79.39933,50,17.98,0.3596
43.66156,-79.3707,40,12.65,0.31625
43.66141,-79.37143,40,12.65,0.31625
43.66203,-79.38336,40,16.63,0.4157499999999999
43.6614,-79.38311,40,16.63,0.4157499999999999
43.66134,-79.40132,50,11.48,0.2296
43.66155,-79.40022,50,11.48,0.2296
43.6617,-79.39933,50,11.48,0.2296
43.66113,-79.38809,50,13.42,0.2683999999999999
43.66116,-79.38788,50,13.42,0.2683999999999999
43.6612,-79.38769,50,13.42,0.2683999999999999
43.66217,-79.41265,50,4.82,0.0964
43.66118,-79.41226,50,4.82,0.0964
43.66101,-79.41219,50,4.82,0.0964
43.6612,-79.38769,50,17.46,0.3492
43.66094,-79.38758,50,17.46,0.3492
43.66126,-79.3791,40,21.4,0.5349999999999999
43.66065,-79.37883,40,21.4,0.5349999999999999
43.66054,-79.38743,40,25.16,0.629
43.6607,-79.38667,40,25.16,0.629
43.66096,-79.37354,50,19.04,0.3807999999999999
43.66041,-79.37332,50,19.04,0.3807999999999999
43.66032,-79.4065,50,24.36,0.4871999999999999
43.66042,-79.40597,50,24.36,0.4871999999999999
43.6603,-79.40101,40,25.1,0.6275000000000001
43.66029,-79.40105,40,25.1,0.6275000000000001
43.66028,-79.4011,40,25.1,0.6275000000000001
43.66026,-79.40114,40,25.1,0.6275000000000001
43.66024,-79.40118,40,25.1,0.6275000000000001
43.66022,-79.40123,40,25.1,0.6275000000000001
43.66187,-79.41758,50,14.6,0.292
43.66184,-79.41758,50,14.6,0.292
43.66177,-79.41758,50,14.6,0.292
43.66171,-79.41755,50,14.6,0.292
43.66099,-79.41726,50,14.6,0.292
43.66002,-79.41689,50,14.6,0.292
43.66002,-79.39887,50,16.98,0.3396
43.66009,-79.39871,50,16.98,0.3396
43.66065,-79.37883,40,12.66,0.3165
43.65983,-79.37847,40,12.66,0.3165
43.65982,-79.39995,50,15.84,0.3167999999999999
43.66002,-79.39887,50,15.84,0.3167999999999999
43.66127,-79.41096,50,24.77,0.4954
43.66044,-79.41062,50,24.77,0.4954
43.65957,-79.41027,50,24.77,0.4954
43.66022,-79.40123,40,31.82,0.7955
43.66017,-79.40129,40,31.82,0.7955
43.66012,-79.40136,40,31.82,0.7955
